date,tenor,term,value
2018-08-03,7Y,7,0.004753089519859277
2018-08-03,10Y,10,0.007664112114645134
2018-08-03,15Y,15,0.01174922256393082
2018-08-03,20Y,20,0.013083394292852176
2018-08-03,25Y,25,0.012888515901084474
2018-08-03,30Y,30,0.01274875830511859
2018-08-06,1Y,1,0.00038999244701718816
2018-08-06,2Y,2,0.0009051161946815344
2018-08-06,3Y,3,0.001350538342298336
2018-08-06,4Y,4,0.002027116388603143
2018-08-06,5Y,5,0.0029156803296441595
2018-08-06,7Y,7,0.004724803672413336
2018-08-06,10Y,10,0.007701483272298233
2018-08-06,15Y,15,0.011675290605730608
2018-08-06,20Y,20,0.013076265746057233
2018-08-06,25Y,25,0.012914166631870158
2018-08-06,30Y,30,0.012786845493882986
2018-08-07,1Y,1,0.0003899936658465838
2018-08-07,2Y,2,0.0009101184079410102
2018-08-07,3Y,3,0.0015908688618064798
2018-08-07,4Y,4,0.002277557348051456
2018-08-07,5Y,5,0.0030664901524533996
2018-08-07,7Y,7,0.004884455111926043
2018-08-07,10Y,10,0.008032569961574
2018-08-07,15Y,15,0.011965736918451958
2018-08-07,20Y,20,0.013326982359169876
2018-08-07,25Y,25,0.01312788417962985
2018-08-07,30Y,30,0.013078988800454721
2018-08-08,1Y,1,0.0003899936658465838
2018-08-08,2Y,2,0.0009251258643502192
2018-08-08,3Y,3,0.0014907129121633927
2018-08-08,4Y,4,0.0021874249610589333
2018-08-08,5Y,5,0.003076447719213901
2018-08-08,7Y,7,0.00492689635031052
2018-08-08,10Y,10,0.007984704845743092
2018-08-08,15Y,15,0.011982243494195905
2018-08-08,20Y,20,0.013442198212877716
2018-08-08,25Y,25,0.01318418557094842
2018-08-08,30Y,30,0.013033574798211657
2018-08-09,1Y,1,0.0003999937536412151
2018-08-09,2Y,2,0.000955135573034366
2018-08-09,3Y,3,0.0015007076113288523
2018-08-09,4Y,4,0.0021573435496554526
2018-08-09,5Y,5,0.0030563536385602363
2018-08-09,7Y,7,0.004874281607011965
2018-08-09,10Y,10,0.00791944291188229
2018-08-09,15Y,15,0.011884331323545902
2018-08-09,20Y,20,0.013247792797537126
2018-08-09,25Y,25,0.013074041632071588
2018-08-09,30Y,30,0.012946373310987379
2018-08-10,1Y,1,0.0003599934775647838
2018-08-10,2Y,2,0.0008951272726831275
2018-08-10,3Y,3,0.0013405281669532497
2018-08-10,4Y,4,0.001916880588143028
2018-08-10,5Y,5,0.002805310747135732
2018-08-10,7Y,7,0.0046743135307273495
2018-08-10,10Y,10,0.007534346082638067
2018-08-10,15Y,15,0.011643269526132576
2018-08-10,20Y,20,0.013053320800593335
2018-08-10,25Y,25,0.012885746024034498
2018-08-10,30Y,30,0.012792743497290765
2018-08-13,1Y,1,0.00037999240299759905
2018-08-13,2Y,2,0.0009051216618921065
2018-08-13,3Y,3,0.0013405224721757688
2018-08-13,4Y,4,0.00195194829980366
2018-08-13,5Y,5,0.0029057024038311226
2018-08-13,7Y,7,0.004601755113030611
2018-08-13,10Y,10,0.007516966958769137
2018-08-13,15Y,15,0.011591797680668314
2018-08-13,20Y,20,0.013014208639111685
2018-08-13,25Y,25,0.012794536642388108
2018-08-13,30Y,30,0.012632649076617247
2018-08-14,1Y,1,0.00038999122819888797
2018-08-14,2Y,2,0.0009451366555655151
2018-08-14,3Y,3,0.0015107120472277712
2018-08-14,4Y,4,0.002132276799022322
2018-08-14,5Y,5,0.0029659570461388054
2018-08-14,7Y,7,0.0048156588681994615
2018-08-14,10Y,10,0.007684255611820633
2018-08-14,15Y,15,0.011771935611157991
2018-08-14,20Y,20,0.013220885157294268
2018-08-14,25Y,25,0.013091895905889163
2018-08-14,30Y,30,0.013011364881884663
2018-08-15,1Y,1,0.0003899863530384837
2018-08-15,2Y,2,0.0008650984548629467
2018-08-15,3Y,3,0.0013505378255416083
2018-08-15,4Y,4,0.0019669362112413958
2018-08-15,5Y,5,0.002855503693946303
2018-08-15,7Y,7,0.004631999420680045
2018-08-15,10Y,10,0.007599236940162506
2018-08-15,15Y,15,0.011738748234659096
2018-08-15,20Y,20,0.01324212131011209
2018-08-15,25Y,25,0.013120556930423796
2018-08-15,30Y,30,0.013029966405584653
2018-08-16,1Y,1,0.0003899851342767538
2018-08-16,2Y,2,0.0008600964310026571
2018-08-16,3Y,3,0.0015107462805965157
2018-08-16,4Y,4,0.002167300005089424
2018-08-16,5Y,5,0.0029057445337588453
2018-08-16,7Y,7,0.0046742502762254345
2018-08-16,10Y,10,0.0077553566726781195
2018-08-16,15Y,15,0.01186438893112259
2018-08-16,20Y,20,0.013289413527970107
2018-08-16,25Y,25,0.013172125371845173
2018-08-16,30Y,30,0.013103640838672641
2018-08-17,1Y,1,0.00037998646530386045
2018-08-17,2Y,2,0.0008200834698930056
2018-08-17,3Y,3,0.001340553879606812
2018-08-17,4Y,4,0.0019869708208500782
2018-08-17,5Y,5,0.002815365145357315
2018-08-17,7Y,7,0.0046440695218031396
2018-08-17,10Y,10,0.0076777422966778745
2018-08-17,15Y,15,0.01182427452060083
2018-08-17,20Y,20,0.013295937551859998
2018-08-17,25Y,25,0.013165655802482558
2018-08-17,30Y,30,0.013131514022883225
2018-08-20,1Y,1,0.00035999010242528427
2018-08-20,2Y,2,0.0008200928672532053
2018-08-20,3Y,3,0.0013205390084157242
2018-08-20,4Y,4,0.0019519266366109806
2018-08-20,5Y,5,0.0027350420091584874
2018-08-20,7Y,7,0.0045632422700485386
2018-08-20,10Y,10,0.00762651075830109
2018-08-20,15Y,15,0.01179199898575191
2018-08-20,20Y,20,0.013303254538251914
2018-08-20,25Y,25,0.01312246996049743
