date,tenor,term,value
2012-11-01,10Y,10,0.01902225125965014
2012-11-01,15Y,15,0.024958902477343874
2012-11-01,20Y,20,0.027811675024073796
2012-11-01,25Y,25,0.0233123398888102
2012-11-01,30Y,30,0.01906919141940393
2012-12-01,1Y,1,0.0020887717175423776
2012-12-01,2Y,2,0.001758731990299968
2012-12-01,3Y,3,0.0024299220593706128
2012-12-01,4Y,4,0.004246458033917001
2012-12-01,5Y,5,0.006636395099893303
2012-12-01,7Y,7,0.012584506693167572
2012-12-01,10Y,10,0.02081965605546158
2012-12-01,15Y,15,0.02838179995915754
2012-12-01,20Y,20,0.028200738869701487
2012-12-01,25Y,25,0.025769388046991464
2012-12-01,30Y,30,0.024734081121102425
2013-01-01,1Y,1,0.002038807460332478
2013-01-01,2Y,2,0.0019489160785591275
2013-01-01,3Y,3,0.002559851325524762
2013-01-01,4Y,4,0.0038898624702680116
2013-01-01,5Y,5,0.006101863412209357
2013-01-01,7Y,7,0.011814767859702471
2013-01-01,10Y,10,0.01988804770057814
2013-01-01,15Y,15,0.029542217517303487
2013-01-01,20Y,20,0.02993952753427609
2013-01-01,25Y,25,0.027536155797749012
2013-01-01,30Y,30,0.026363190433967044
2013-02-01,1Y,1,0.0020688196529651914
2013-02-01,2Y,2,0.0020139021166810994
2013-02-01,3Y,3,0.002529721192982361
2013-02-01,4Y,4,0.003668863630371052
2013-02-01,5Y,5,0.00552716121240773
2013-02-01,7Y,7,0.010760659533718225
2013-02-01,10Y,10,0.01710307995002242
2013-02-01,15Y,15,0.027192765151802124
2013-02-01,20Y,20,0.026313472060489968
2013-02-01,25Y,25,0.023449637842653026
2013-02-01,30Y,30,0.022418479529996028
2013-03-01,1Y,1,0.002148778081278233
2013-03-01,2Y,2,0.0022339128881149425
2013-03-01,3Y,3,0.0028299830959834698
2013-03-01,4Y,4,0.003869124732370471
2013-03-01,5Y,5,0.005385435472266528
2013-03-01,7Y,7,0.009690572023392382
2013-03-01,10Y,10,0.016362300412098622
2013-03-01,15Y,15,0.023594719093550265
2013-03-01,20Y,20,0.02676273932039759
2013-03-01,25Y,25,0.024540205432966988
2013-03-01,30Y,30,0.02238976205566955
2013-04-01,1Y,1,0.0025385074028604878
2013-04-01,2Y,2,0.003154020729129811
2013-04-01,3Y,3,0.004181836456926778
2013-04-01,4Y,4,0.005082055052185798
2013-04-01,5Y,5,0.006350252777029233
2013-04-01,7Y,7,0.010041298056402394
2013-04-01,10Y,10,0.016286344474536397
2013-04-01,15Y,15,0.024567013761778517
2013-04-01,20Y,20,0.024460688594189286
2013-04-01,25Y,25,0.024922817200950804
2013-04-01,30Y,30,0.026232277585159412
2013-05-01,1Y,1,0.0027884390181070707
2013-05-01,2Y,2,0.003939530541579075
2013-05-01,3Y,3,0.005776744016564333
2013-05-01,4Y,4,0.008137124511606385
2013-05-01,5Y,5,0.010556578124669399
2013-05-01,7Y,7,0.014809553904363951
2013-05-01,10Y,10,0.020102033015501595
2013-05-01,15Y,15,0.026496734871123032
2013-05-01,20Y,20,0.02647915456901227
2013-05-01,25Y,25,0.02447734611259559
2013-05-01,30Y,30,0.023415498136615333
2013-06-01,1Y,1,0.002678465360534575
2013-06-01,2Y,2,0.0033589382946411723
2013-06-01,3Y,3,0.00492439864441927
2013-06-01,4Y,4,0.0074023631330857745
2013-06-01,5Y,5,0.010010772496049085
2013-06-01,7Y,7,0.014547923208037397
2013-06-01,10Y,10,0.020280612119763813
2013-06-01,15Y,15,0.025407841787347583
2013-06-01,20Y,20,0.026291441054528276
2013-06-01,25Y,25,0.027038876511796463
2013-06-01,30Y,30,0.02979559280617359
2013-07-01,1Y,1,0.002428707046284947
2013-07-01,2Y,2,0.003134241418626546
2013-07-01,3Y,3,0.00445323313812293
2013-07-01,4Y,4,0.0064868435607798244
2013-07-01,5Y,5,0.009161314580839394
2013-07-01,7Y,7,0.014515151049759457
2013-07-01,10Y,10,0.021102638240155947
2013-07-01,15Y,15,0.027720130932937622
2013-07-01,20Y,20,0.02766951332877134
2013-07-01,25Y,25,0.025185298399432517
2013-07-01,30Y,30,0.02400250173692351
2013-08-01,1Y,1,0.002568655086446837
2013-08-01,2Y,2,0.0033742231130547756
2013-08-01,3Y,3,0.004432582336434554
2013-08-01,4Y,4,0.005992831923294895
2013-08-01,5Y,5,0.008188801181599249
2013-08-01,7Y,7,0.013340027519914944
2013-08-01,10Y,10,0.01947554718422275
2013-08-01,15Y,15,0.027284829008461343
2013-08-01,20Y,20,0.027201372159342836
2013-08-01,25Y,25,0.024707038923382323
2013-08-01,30Y,30,0.023143943195588112
2013-09-01,1Y,1,0.0023487671932379433
2013-09-01,2Y,2,0.0030192785308751475
2013-09-01,3Y,3,0.004132342557740195
2013-09-01,4Y,4,0.005691929457908135
2013-09-01,5Y,5,0.0078056782752929784
2013-09-01,7Y,7,0.012295008841707497
2013-09-01,10Y,10,0.019021803788799082
2013-09-01,15Y,15,0.026622464427325604
2013-09-01,20Y,20,0.026654870960270995
2013-09-01,25Y,25,0.024421009645979014
2013-09-01,30Y,30,0.023332177193814883
2013-10-01,1Y,1,0.001979063822796343
2013-10-01,2Y,2,0.002374326833213687
2013-10-01,3Y,3,0.003261230436694483
2013-10-01,4Y,4,0.005055410707462701
2013-10-01,5Y,5,0.006392415474761819
2013-10-01,7Y,7,0.011006970756623017
2013-10-01,10Y,10,0.01762999345093139
2013-10-01,15Y,15,0.02524987537925627
2013-10-01,20Y,20,0.025695201488225627
2013-10-01,25Y,25,0.02339099987678315
2013-10-01,30Y,30,0.021816358206424136
2013-11-01,1Y,1,0.0018591414436646316
2013-11-01,2Y,2,0.0021793659204046557
2013-11-01,3Y,3,0.0032215474977926283
2013-11-01,4Y,4,0.00492979263945796
2013-11-01,5Y,5,0.007040343627922096
2013-11-01,7Y,7,0.011438416571125147
2013-11-01,10Y,10,0.01778122332689562
2013-11-01,15Y,15,0.026362184563298644
2013-11-01,20Y,20,0.026448437353736108
2013-11-01,25Y,25,0.024022014416847585
2013-11-01,30Y,30,0.022952376403272967
2013-12-01,1Y,1,0.0019091183747601838
2013-12-01,2Y,2,0.002489569264340482
2013-12-01,3Y,3,0.003913065438525607
2013-12-01,4Y,4,0.006020756896955396
2013-12-01,5Y,5,0.00868789689327295
2013-12-01,7Y,7,0.013932612398816997
2013-12-01,10Y,10,0.02012576634942495
2013-12-01,15Y,15,0.026916318542055045
2013-12-01,20Y,20,0.02747097154735976
2013-12-01,25Y,25,0.025125887464665278
2013-12-01,30Y,30,0.023976997010202172
2014-01-01,1Y,1,0.0018591414436646316
2014-01-01,2Y,2,0.00220939155872559
2014-01-01,3Y,3,0.0032214844007833043
2014-01-01,4Y,4,0.004849365594965217
2014-01-01,5Y,5,0.0070404535253647755
2014-01-01,7Y,7,0.012101982043779928
2014-01-01,10Y,10,0.01904588740024818
2014-01-01,15Y,15,0.025357684691439952
2014-01-01,20Y,20,0.02653475198096522
2014-01-01,25Y,25,0.02406835764751624
2014-01-01,30Y,30,0.02305314977720348
2014-02-01,1Y,1,0.0018791639164407552
2014-02-01,2Y,2,0.002174323886353843
2014-02-01,3Y,3,0.003041142152221562
2014-02-01,4Y,4,0.004633377203917344
2014-02-01,5Y,5,0.006778020898108603
2014-02-01,7Y,7,0.011819036939203267
2014-02-01,10Y,10,0.018837391785159058
2014-02-01,15Y,15,0.025771473015225227
2014-02-01,20Y,20,0.026014499119380554
2014-02-01,25Y,25,0.02404887202019497
2014-02-01,30Y,30,0.023092449721358977
2014-03-01,1Y,1,0.0017592315498083705
2014-03-01,2Y,2,0.002124483285060869
2014-03-01,3Y,3,0.0032417999137093626
2014-03-01,4Y,4,0.0050356342069090235
2014-03-01,5Y,5,0.007333692141323477
2014-03-01,7Y,7,0.012350999842550763
2014-03-01,10Y,10,0.019050259923751568
2014-03-01,15Y,15,0.0262423419400833
2014-03-01,20Y,20,0.026645203900150554
2014-03-01,25Y,25,0.02469273212289161
2014-03-01,30Y,30,0.02381526658126707
2014-04-01,1Y,1,0.0017692503995344934
2014-04-01,2Y,2,0.002189519580865086
2014-04-01,3Y,3,0.003231702864698414
2014-04-01,4Y,4,0.004864681618612799
2014-04-01,5Y,5,0.007000336605630427
2014-04-01,7Y,7,0.011663888249764555
2014-04-01,10Y,10,0.018316514367937523
2014-04-01,15Y,15,0.025690562112343766
2014-04-01,20Y,20,0.026318306064023467
2014-04-01,25Y,25,0.024435374460104485
2014-04-01,30Y,30,0.023632333716989383
2014-05-01,1Y,1,0.0017992410729381744
2014-05-01,2Y,2,0.0022044814559379557
2014-05-01,3Y,3,0.0031013262172135056
2014-05-01,4Y,4,0.0045480579425657055
2014-05-01,5Y,5,0.006434933945652142
2014-05-01,7Y,7,0.010803979191272864
2014-05-01,10Y,10,0.017395774261908796
2014-05-01,15Y,15,0.025373307996968162
2014-05-01,20Y,20,0.026030312760157777
2014-05-01,25Y,25,0.024266701601078244
2014-05-01,30Y,30,0.023500748572132118
2014-06-01,1Y,1,0.001609372433769019
2014-06-01,2Y,2,0.0018244794365052022
2014-06-01,3Y,3,0.002490612381857936
2014-06-01,4Y,4,0.00387086581894452
2014-06-01,5Y,5,0.005911474594792626
2014-06-01,7Y,7,0.010572145838433758
2014-06-01,10Y,10,0.017067380442607513
2014-06-01,15Y,15,0.024894219964309138
2014-06-01,20Y,20,0.025886296350253708
2014-06-01,25Y,25,0.024519455247174624
2014-06-01,30Y,30,0.023916155622123115
2014-07-01,1Y,1,0.0015593773013612118
2014-07-01,2Y,2,0.0016794591453008151
2014-07-01,3Y,3,0.002280368768247889
2014-07-01,4Y,4,0.0034543407541014095
2014-07-01,5Y,5,0.0052063120607842225
2014-07-01,7Y,7,0.009661084353527659
2014-07-01,10Y,10,0.01649128161095039
2014-07-01,15Y,15,0.02437652433165079
2014-07-01,20Y,20,0.02543106930855495
2014-07-01,25Y,25,0.024205232341857827
2014-07-01,30Y,30,0.02373877048582318
2014-08-01,1Y,1,0.0016992832177320349
2014-08-01,2Y,2,0.001869381582140409
2014-08-01,3Y,3,0.0024202822080423474
2014-08-01,4Y,4,0.0035141881870806675
2014-08-01,5Y,5,0.004984089656940835
2014-08-01,7Y,7,0.008682458406479422
2014-08-01,10Y,10,0.014930969411886399
2014-08-01,15Y,15,0.02351557409760794
2014-08-01,20Y,20,0.02494920712445967
2014-08-01,25Y,25,0.023641205330176114
2014-08-01,30Y,30,0.023093674097925777
2014-09-01,1Y,1,0.0015893931368266125
2014-09-01,2Y,2,0.0018094969357954239
2014-09-01,3Y,3,0.0024906640004724503
2014-09-01,4Y,4,0.0037252026483505993
2014-09-01,5Y,5,0.005447914419906793
2014-09-01,7Y,7,0.009477730391748531
2014-09-01,10Y,10,0.015648015451200578
2014-09-01,15Y,15,0.023922106696850784
2014-09-01,20Y,20,0.025287547552239855
2014-09-01,25Y,25,0.023729113788798554
2014-09-01,30Y,30,0.023104324269409983
2014-10-01,1Y,1,0.0014394818486977365
2014-10-01,2Y,2,0.0015895600478942908
2014-10-01,3Y,3,0.0021403495293318892
2014-10-01,4Y,4,0.0032438963476248473
2014-10-01,5Y,5,0.004864224717265329
2014-10-01,7Y,7,0.008642847040031962
2014-10-01,10Y,10,0.014424564474154128
2014-10-01,15Y,15,0.02209747316066602
2014-10-01,20Y,20,0.023449816387553654
2014-10-01,25Y,25,0.0219435172763957
2014-10-01,30Y,30,0.021192718896551253
2014-11-01,1Y,1,0.0013095752536729688
2014-11-01,2Y,2,0.0015246790737258285
2014-11-01,3Y,3,0.002190631089573523
2014-11-01,4Y,4,0.003329381276291893
2014-11-01,5Y,5,0.0048846434049850855
2014-11-01,7Y,7,0.008452447183081524
2014-11-01,10Y,10,0.013883054097760191
2014-11-01,15Y,15,0.02145777662632326
2014-11-01,20Y,20,0.022670854545425844
2014-11-01,25Y,25,0.020945267490538617
2014-11-01,30Y,30,0.02011099994469181
2014-12-01,1Y,1,0.0012396157588114673
2014-12-01,2Y,2,0.0014046920772171022
2014-12-01,3Y,3,0.001980442331981115
2014-12-01,4Y,4,0.0029783755405040743
2014-12-01,5Y,5,0.004260863662967823
2014-12-01,7Y,7,0.007281800941405832
2014-12-01,10Y,10,0.012539892437552255
2014-12-01,15Y,15,0.019097858021693392
2014-12-01,20Y,20,0.020125281363666633
2014-12-01,25Y,25,0.018474981928428846
2014-12-01,30Y,30,0.0176574532624049
2015-01-01,1Y,1,0.0011996288999947947
2015-01-01,2Y,2,0.001364715688289268
2015-01-01,3Y,3,0.0020205600381597005
2015-01-01,4Y,4,0.003098813082358328
2015-01-01,5Y,5,0.0042608008804815405
2015-01-01,7Y,7,0.006673340815682254
2015-01-01,10Y,10,0.011075036558031878
2015-01-01,15Y,15,0.018260402880828083
2015-01-01,20Y,20,0.019615052765840794
2015-01-01,25Y,25,0.018349988117794466
2015-01-01,30Y,30,0.017745361529740634
2015-02-01,1Y,1,0.0011996438919847083
2015-02-01,2Y,2,0.0015348119127666301
2015-02-01,3Y,3,0.002220738393618994
2015-02-01,4Y,4,0.003199072418963821
2015-02-01,5Y,5,0.004421681408804886
2015-02-01,7Y,7,0.0072695926989215474
2015-02-01,10Y,10,0.012287316804666064
2015-02-01,15Y,15,0.019779745747222747
2015-02-01,20Y,20,0.02111740857044414
2015-02-01,25Y,25,0.019800589196314146
2015-02-01,30Y,30,0.019181667758502757
2015-03-01,1Y,1,0.0015495110277317624
2015-03-01,2Y,2,0.0019646593384989018
2015-03-01,3Y,3,0.002751251575810988
